2026-02-04 23:03:45,744 | INFO     | DataGenerator | DataGeneratorConfig initialized with locale=zh_CN, seed=42
2026-02-04 23:03:45,744 | INFO     | DataGenerator | TestDataGenerator initialized
2026-02-04 23:03:45,744 | INFO     | DataGenerator | Starting batch generation of 1000 records
2026-02-04 23:03:45,882 | INFO     | DataGenerator | Successfully generated 1000 records
2026-02-04 23:03:45,896 | INFO     | DataGenerator | Exported 1000 record(s) to JSON: output\users.json
2026-02-04 23:03:45,901 | INFO     | DataGenerator | Exported 1000 records to CSV: output\users.csv
2026-02-04 23:03:45,903 | INFO     | DataGenerator | Starting async batch generation of 500 records (concurrency=20)
2026-02-04 23:03:45,947 | INFO     | DataGenerator | Successfully generated 500 records asynchronously
2026-02-04 23:03:45,952 | INFO     | DataGenerator | Exported 500 record(s) to JSON: output\orders.json
2026-02-04 23:03:45,954 | INFO     | DataGenerator | Exported 500 records to CSV: output\orders.csv
